city,date,temp_max_c,temp_min_c,precipitation_mm,wind_speed_max_kmh,wind_gusts_max_kmh,wind_direction_dominant_deg,wind_index_max,wind_direction_dominant_name,collected_at
Hà Nội,2025-09-23,31.8,25.4,3.8,9.8,21.2,324,26.4,NW,2025-09-23 22:32:47
Hà Nội,2025-09-24,34.6,26.4,0.1,16.5,34.6,325,43.9,NW,2025-09-23 22:32:47
Hà Nội,2025-09-25,28.4,24.4,3.0,11.8,22.3,315,29.9,NW,2025-09-23 22:32:47
Hà Nội,2025-09-26,30.0,23.9,6.6,10.1,20.2,335,26.3,NNW,2025-09-23 22:32:47
Hà Nội,2025-09-27,26.3,24.9,13.2,10.4,29.5,302,32.3,WNW,2025-09-23 22:32:47
Hà Nội,2025-09-28,32.3,24.5,11.8,13.2,33.8,307,38.8,NW,2025-09-23 22:32:47
Hà Nội,2025-09-29,26.0,24.4,142.6,30.0,57.2,11,76.3,N,2025-09-23 22:32:47
Hồ Chí Minh,2025-09-23,30.9,24.5,3.9,17.5,37.4,277,46.9,W,2025-09-23 22:32:47
Hồ Chí Minh,2025-09-24,31.6,25.1,0.8,18.8,44.6,250,53.1,WSW,2025-09-23 22:32:47
Hồ Chí Minh,2025-09-25,30.2,25.2,1.6,15.0,38.9,245,44.3,WSW,2025-09-23 22:32:47
Hồ Chí Minh,2025-09-26,31.4,24.3,4.6,11.3,28.1,288,32.7,WNW,2025-09-23 22:32:47
Hồ Chí Minh,2025-09-27,28.0,25.3,20.5,11.4,29.2,296,33.5,WNW,2025-09-23 22:32:47
Hồ Chí Minh,2025-09-28,29.3,24.8,15.0,11.8,21.6,233,29.5,SW,2025-09-23 22:32:47
Hồ Chí Minh,2025-09-29,30.2,25.1,6.2,16.8,42.5,201,49.0,SSW,2025-09-23 22:32:47
Đà Nẵng,2025-09-23,32.5,25.5,2.5,10.2,28.8,292,31.6,WNW,2025-09-23 22:32:47
Đà Nẵng,2025-09-24,32.6,26.0,12.2,8.1,32.8,284,31.0,WNW,2025-09-23 22:32:47
Đà Nẵng,2025-09-25,32.7,26.6,0.5,8.3,25.2,224,26.7,SW,2025-09-23 22:32:47
Đà Nẵng,2025-09-26,29.4,26.0,13.4,9.7,20.2,345,25.7,NNW,2025-09-23 22:32:47
Đà Nẵng,2025-09-27,28.5,24.9,7.3,10.1,25.6,357,29.5,N,2025-09-23 22:32:47
Đà Nẵng,2025-09-28,27.5,24.5,9.2,10.5,22.7,277,28.3,W,2025-09-23 22:32:47
Đà Nẵng,2025-09-29,31.0,25.5,2.7,5.9,25.2,223,23.4,SW,2025-09-23 22:32:47
Quy Nhơn,2025-09-23,32.5,26.3,0.0,19.7,45.0,260,54.6,W,2025-09-23 22:32:47
Quy Nhơn,2025-09-24,31.8,27.0,0.0,24.5,56.2,260,68.0,W,2025-09-23 22:32:47
Quy Nhơn,2025-09-25,30.2,26.6,0.0,16.3,38.2,255,45.7,WSW,2025-09-23 22:32:47
Quy Nhơn,2025-09-26,31.8,25.8,13.8,10.2,24.1,277,28.7,W,2025-09-23 22:32:47
Quy Nhơn,2025-09-27,29.6,25.1,12.8,11.8,27.4,3,33.0,N,2025-09-23 22:32:47
Quy Nhơn,2025-09-28,28.1,24.4,6.8,4.0,17.6,240,16.2,WSW,2025-09-23 22:32:47
Quy Nhơn,2025-09-29,33.2,25.5,0.0,16.9,37.8,226,46.3,SW,2025-09-23 22:32:47
